"driverId","forename","surname","countWins"
14,David,Coulthard,193
21,Giancarlo,Fisichella,190
15,Jarno,Trulli,187
22,Rubens,Barrichello,187
23,Ralf,Schumacher,174
30,Michael,Schumacher,166
18,,,148
2,Nick,Heidfeld,147
35,Jacques,Villeneuve,137
8,Kimi,Räikkönen,122
4,,,118
17,Mark,Webber,116
49,Heinz-Harald,Frentzen,111
44,Olivier,Panis,103
11,Takuma,Sato,101
31,Juan,Pablo Montoya,101
13,,,99
56,Eddie,Irvine,94
25,Alexander,Wurz,85
37,Pedro,de la Rosa,83
57,Mika,Häkkinen,76
55,Jean,Alesi,73
63,Mika,Salo,72
50,Jos,Verstappen,71
65,Johnny,Herbert,58
32,Christian,Klien,55
64,Pedro,Diniz,51
27,Christijan,Albers,50
24,Vitantonio,Liuzzi,50
3,Nico,Rosberg,47
48,Marc,Gené,44
71,Damon,Hill,43
41,Ricardo,Zonta,42
9,,,38
33,Tiago,Monteiro,37
5,Heikki,Kovalainen,35
19,Anthony,Davidson,35
26,Scott,Speed,34
43,Cristiano,da Matta,33
16,,,33
60,Gastón,Mazzacane,32
68,Toranosuke,Takagi,30
75,Shinji,Nakano,28
10,Timo,Glock,27
76,Jan,Magnussen,27
42,Antônio,Pizzonia,25
54,Luciano,Burti,25
59,Enrique,Bernoldi,25
20,Sebastian,Vettel,25
58,Tarso,Marques,23
47,Zsolt,Baumgartner,20
6,Kazuki,Nakajima,19
39,Narain,Karthikeyan,19
40,Patrick,Friesacher,19
1,,,19
62,Alex,Yoong,18
7,Sébastien,Bourdais,18
45,Giorgio,Pantano,18
46,Gianmaria,Bruni,17
12,Nelson,Piquet Jr.,17
34,Yuji,Ide,16
66,Allan,McNish,16
52,Ralph,Firman,15
73,Ricardo,Rosset,14
77,Gerhard,Berger,14
69,Luca,Badoer,14
78,Nicola,Larini,14
70,Alessandro,Zanardi,14
74,Esteban,Tuero,13
79,Ukyo,Katayama,13
51,Justin,Wilson,12
36,Franck,Montagny,12
38,Robert,Doornbos,11
81,Gianni,Morbidelli,9
29,Sakon,Yamamoto,9
82,Norberto,Fontana,6
53,Nicolas,Kiesa,5
61,Tomáš,Enge,3
